date,open,close,high,low,volume,amount
2021-06-01,2007.79,2026.74,2034.74,1991.79,30616,6832594432.0
2021-06-02,2035.79,2007.79,2049.79,1993.97,22863,5088908288.0
2021-06-03,2005.79,2008.01,2046.13,1995.87,23450,5242452992.0
2021-06-04,2000.79,2037.29,2073.79,1999.83,31422,7058715136.0
2021-06-07,2050.79,2056.79,2064.79,2025.8,25466,5756592640.0
2021-06-08,2045.79,1976.79,2065.78,1946.94,47314,10479943168.0
2021-06-09,1977.79,1985.29,1999.79,1945.9,25502,5591378944.0
2021-06-10,1980.79,2024.27,2037.16,1975.87,25567,5707338496.0
2021-06-11,2024.79,1964.6,2029.79,1964.6,33971,7513797120.0
2021-06-15,1980.89,1978.79,1994.67,1933.79,29361,6412821504.0
2021-06-16,1977.79,1943.79,1980.79,1933.79,27593,5978924544.0
2021-06-17,1941.44,1942.7,1973.79,1930.15,21068,4558702592.0
2021-06-18,1932.79,1876.73,1942.29,1850.79,54028,11329180928.0
2021-06-21,1870.79,1867.43,1885.48,1835.79,35488,7367986432.0
2021-06-22,1877.79,1860.76,1883.79,1839.68,33228,6900830720.0
2021-06-23,1865.79,1823.79,1868.79,1819.94,37079,7596735744.0
2021-06-24,1825.8,1853.84,1865.79,1806.79,31474,6452557056.0
2021-06-25,1855.04,1897.08,1914.08,1847.68,35875,7459680512.0
2021-06-28,1905.08,1908.09,1923.08,1878.08,27452,5750241280.0
2021-06-29,1913.08,1867.08,1920.08,1856.08,33031,6835635200.0
2021-06-30,1870.08,1861.78,1879.08,1851.38,21916,4511484160.0
2021-07-01,1865.05,1910.08,1915.08,1836.68,33701,6970731008.0
2021-07-02,1880.08,1818.08,1880.08,1816.58,46275,9388640256.0
2021-07-05,1805.08,1799.08,1824.96,1790.08,34421,6872797696.0
2021-07-06,1800.08,1817.98,1819.08,1765.09,35283,7015883008.0
2021-07-07,1815.08,1809.08,1833.96,1804.09,28122,5658210816.0
2021-07-08,1805.18,1790.08,1809.08,1773.08,35517,7027713792.0
2021-07-09,1769.6,1777.19,1790.99,1750.08,30908,6072340992.0
2021-07-12,1780.63,1766.08,1803.86,1745.58,39010,7658786304.0
2021-07-13,1773.08,1787.98,1810.58,1770.08,29925,5946287360.0
2021-07-14,1779.08,1767.08,1779.58,1750.08,30771,6011814912.0
2021-07-15,1760.1,1803.07,1818.08,1755.68,42190,8391506176.0
2021-07-16,1785.08,1760.98,1801.68,1755.08,35408,6958296832.0
2021-07-19,1760.97,1780.08,1791.08,1746.08,30052,5900348160.0
2021-07-20,1780.08,1785.08,1794.01,1766.49,23475,4639300864.0
2021-07-21,1794.08,1774.08,1811.08,1767.09,29780,5902656256.0
2021-07-22,1765.08,1745.09,1778.98,1744.04,39090,7619076864.0
2021-07-23,1742.9,1705.08,1742.9,1700.17,47585,9057761792.0
